,,11/29/2012,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPM Correspondent,,,,,,,,,,,,,,,
Best Efforts Rate Card as of 11/29/2012,,,,,,,,,,,,,,,
"Prices shown are not current, please log on to www.countryplacemortgage.com for current market pricing",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GOVERNMENT,,,,,,,,,,CONTACTS,,,,,
30 YEAR FIXED,,,,,15 YEAR FIXED,,,,,Product Questions,,,,,
,30 Day,60 Day,90 Day,,,30 Day,60 Day,90 Day,,California/Arizona/New Mexico,,,,,
Rate,12/29,1/28,2/27,,Rate,12/29,1/28,2/27,,Contact:,,Kory Beickel,,,
3.875,(4.245),(3.989),(3.486),,3.375,(2.104),(1.884),(1.387),,Phone: ,,(480) 634-6330,,,
4.000,(4.261),(4.004),(3.501),,3.500,(2.119),(1.899),(1.402),,Email:,,kbeickel@countryplacemortgage.com,,,
4.125,(4.291),(4.035),(3.532),,3.625,(2.149),(1.929),(1.464),,,,,,,
4.250,(4.353),(4.097),(3.594),,3.750,(2.210),(1.990),(1.544),,Florida/Alabama/Georgia,,,,,
4.375,(4.825),(4.610),(4.114),,3.875,(2.330),(2.097),(1.669),,Contact:,,Joe Freismuth,,,
4.500,(4.840),(4.625),(4.137),,4.000,(2.346),(2.112),(1.701),,Phone: ,,(904) 460-7423,,,
4.625,(4.871),(4.656),(4.175),,4.125,(2.376),(2.143),(1.749),,Email:,,jfreismuth@countryplacemortgage.com,,,
4.750,(4.934),(4.719),(4.247),,4.250,(2.437),(2.203),(1.816),,,,,,,
4.875,(4.282),(4.072),(3.628),,4.375,(3.213),(3.000),(2.615),,North Carolina/South Carolina/Tennessee,,,,,
5.000,(4.297),(4.087),(3.671),,4.500,(3.228),(3.015),(2.634),,Contact:,,David Bumpers,,,
5.125,(4.328),(4.118),(3.701),,4.625,(3.259),(3.045),(2.668),,Phone: ,,(888) 677-7484,,,
5.250,(4.390),(4.180),(3.763),,4.750,(3.320),(3.107),(2.730),,Email:,,dbumpers@countryplacemortgage.com,,,
,,,,,,,,,,,,,,,
Government Loan Level Pricing Adjustments,,,,,,,,,,Arkansas/Texas/Oklahoma/Louisiana,,,,,
,,Property Type Adjustments,,,,,,,,Contact:,,Bryan Chamberlain,,,
,,Modular,,,1.000%,,,,,Phone:,,(469)-216-1734,,,
,,203K Streamline,,,1.000%,,,,,Email,,bchamberlain@countryplacemortgage.com,,,
,,Manufactured Home,,,1.000%,,,,,,,,,,
,,,,,,,,,,Washington/Oregon/Idaho,,,,,
CONVENTIONAL,,,,,,,,,,Contact:,,Greg Aest,,,
30 YEAR FIXED,,,,,15 YEAR FIXED,,,,,Phone:,,(360) 709-9191,,,
